pid,start1,end1,period1,start2,end2,period2
01,8,24,16,258,278,20
02,8,32,24,218,232,14
03,0,13,13,223,241,18
04,51,69,18,411,420,9
05,58,87,29,727,766,39
06,53,77,24,281,298,17
07,30,51,21,320,335,15
09,171,193,22,666,706,40
10,66,138,72,535,590,55
100,49,78,29,296,320,24
11,173,208,35,678,718,40
12,76,123,47,356,373,17
13,87,136,49,560,601,41
16,94,216,122,665,719,54
17,54,88,34,461,504,43
18,113,313,200,885,980,95
19,55,147,92,413,454,41
20,104,141,37,474,495,21
21,92,124,32,597,634,37
22,94,150,56,393,427,34
24,111,143,32,558,595,37
25,95,195,100,1150,1200,50
26,71,93,22,580,660,80
27,12,113,101,557,577,20
28,47,104,57,398,451,53
29,61,98,37,452,473,21
30,52,67,15,262,281,19
31,12,74,62,507,550,43
32,61,87,26,436,473,37
33,61,145,84,556,613,57
34,106,139,33,663,691,28
35,130,152,22,785,805,20
36,84,110,26,853,890,37
37,80,129,49,602,647,45
38,88,115,27,663,721,58
39,55,89,34,425,446,21
40,50,70,20,279,290,11
43,56,85,29,348,375,27
44,54,89,35,290,310,20
45,189,214,25,563,570,7
46,75,130,55,871,913,42
48,94,127,33,482,492,10
49,63,144,81,639,686,47
51,98,187,89,653,804,151
52,43,104,61,504,530,26
57,45,66,21,259,277,18
58,69,101,32,280,335,55
59,135,170,35,716,844,128
60,128,193,65,737,776,39
61,66,95,29,372,388,16
62,138,156,18,596,612,16
63,147,186,39,483,518,35
64,54,80,26,287,324,37
65,61,106,45,732,770,38
66,68,93,25,501,545,44
67,55,100,45,312,328,16
68,85,160,75,661,782,121
69,63,99,36,428,473,45
70,61,82,21,262,275,13
71,73,95,22,286,302,16
72,62,87,25,317,349,32
73,55,81,26,417,452,35
74,59,81,22,366,385,19
75,51,72,21,262,284,22
76,50,63,13,291,301,10
77,53,92,39,351,364,13
78,47,74,27,338,367,29
79,36,72,36,288,316,28
80,36,68,32,362,395,33
81,59,86,27,382,412,30
82,53,99,46,398,415,17
83,46,74,28,271,285,14
84,50,89,39,257,274,17
85,62,101,39,528,569,41
86,58,80,22,392,416,24
87,78,113,35,368,399,31
88,50,94,44,306,326,20
89,49,73,24,275,301,26
90,51,69,18,252,281,29
91,29,51,22,244,259,15
92,34,57,23,249,294,45
93,36,60,24,287,328,41
94,39,60,21,268,291,23
95,51,81,30,339,380,41
96,61,93,32,426,456,30
97,52,59,7,382,400,18
98,49,86,37,347,365,18
99,53,107,54,435,486,51
